expected_value,P27487_DPP4_shap,Q08378_GOLGA3_shap,P0DJI9_SAA2_shap,P14555_PLA2G2A_shap,Q14CX7_NAA25_shap
-0.29230494559461,0.17284641993492866,-1.6664305306091522,-0.017180406495660928,-0.7570340863524717,-0.14399348839907308
-0.29230494559461,0.21312240150376008,1.2583436372137726,-0.2971199882379708,0.11609625627250038,0.3900967778320131
-0.29230494559461,0.5773100839341173,1.1236737779536614,-0.46236287670478465,-3.0063227445503253,-0.5492721959149517
-0.29230494559461,0.09291103984714019,0.23459352991874044,0.6613269205945224,2.005498379658217,-0.3757203926808512
-0.29230494559461,-0.19695491771613538,1.0201233999525186,-0.2089513088691978,0.5200099721326967,-0.06595329573260694
-0.29230494559461,0.0379234640199381,-1.8804377312657152,0.022063760170049622,0.1549515840434203,-0.6092254273685537
-0.29230494559461,-0.7131186348296218,0.00017839682555454347,-0.11225970201244186,-0.6660116189871215,-0.43785635072850526
-0.29230494559461,0.4542858091822865,2.0708440486452977,-0.6995022784509877,-2.8287675529776837,-0.4096184944042239
-0.29230494559461,0.5125925738248196,-0.9257209285357212,0.5971989399286591,0.4244314485688214,0.648697528511651
-0.29230494559461,-0.17667450523490277,-0.26303009875756467,0.4809099834595035,0.31389341502514473,0.22887006857945832
-0.29230494559461,0.23560776257446062,0.3825677036002499,-0.2617324241526785,-0.6088896664666008,0.40340246674614744
-0.29230494559461,0.625751058686579,2.2471941313693655,0.19302690216619925,0.16835025681733504,0.2161766109819081
-0.29230494559461,0.3621127091488806,0.5482345272758036,-1.5622995906758295,-1.8988549149693874,-0.1410639216687404
-0.29230494559461,0.3653525030337879,-3.3359335845487097,0.1689359852088443,0.9276137572888998,-0.719048797400878
-0.29230494559461,0.3363880294331314,0.5913676599623359,0.38353704669483224,0.7866171324010381,-0.18145975244301377
-0.29230494559461,-0.5888803034641654,-0.8673582207501256,-0.06258062015112362,0.3895688966187503,-0.4731266627356148
-0.29230494559461,0.2938083844596017,0.08031427808126437,0.030664025907098453,1.0150747500932642,0.08036774416258306
-0.29230494559461,-0.2493475671984776,-0.7051148655164969,-0.6528169984080807,-1.7772152115922484,0.38988377107048905
-0.29230494559461,0.5639482944425205,-1.0867780246511831,0.37501872247096235,1.8454351442286525,-0.4960233709164851
-0.29230494559461,0.1899012960952354,-0.24946612825982442,0.5762996993846239,-0.05194167017702516,0.4656960305174736
-0.29230494559461,-0.8286894750759033,-0.8511338788524161,1.1349003876634807,1.119670055406323,-0.43488935783953936
-0.29230494559461,-0.5950355691435696,1.1927139675727907,-0.21981926733004625,-0.15422368666495354,-0.35261726214849737
-0.29230494559461,-0.23205176080384401,-0.9786165926157425,0.8511866691247763,2.70268369617831,-0.28840906599583066
-0.29230494559461,-0.6498334780677554,0.05462189778511917,-0.7590301142833998,-2.2516652715633345,-0.4679569957186392
-0.29230494559461,-0.060501838772206384,-1.420493156115598,0.2824119220010582,0.41909544935132825,2.7405939750541966
-0.29230494559461,-1.0549142235803077,-0.007121777467283769,-0.09464963283434717,0.8490505682791628,-0.8161257256480471
-0.29230494559461,1.1309641323064796,0.09492983261845167,-0.4720869074623229,-1.755715889415376,0.3223492775622
-0.29230494559461,-0.10839514024803372,0.23333227804910187,0.16400537010024135,0.8355903477270883,-0.16500869390093864
-0.29230494559461,-0.13444682573999786,-0.06829614401065591,0.17843605326599707,-0.49663412936767454,-0.03406687992052482
-0.29230494559461,-0.3884192194018634,-0.21922198488835995,0.24026127343197864,1.3933122696926865,-0.6616021364834642
-0.29230494559461,0.3592543124776535,-0.6374624718485888,-0.7825384859579803,-0.10568517537236723,-0.13581748315807257
-0.29230494559461,0.24405591968722157,1.4483691548526887,0.42224687096217045,0.5093470384416315,1.0869267847925144
-0.29230494559461,-0.503706091740755,-0.2920783315429516,0.47219384409654225,0.26276071632779185,0.17626769069839535
-0.29230494559461,-1.0549142235803077,-1.2750076400069128,-1.8246226313245588,-6.751493445276087,-0.7207398941730673
-0.29230494559461,-0.02964253623931006,-0.3643365261693316,-1.2620159483848012,-1.423048577175179,-0.15521102620126653
-0.29230494559461,0.2709501266889836,1.1201267045643453,-0.319729771037993,-1.522566819358461,0.5796270124240248
-0.29230494559461,0.16378763590784032,-0.9911509376146499,0.7285590800224743,1.514178455237711,-0.49295964154043503
-0.29230494559461,-0.22841121357937708,-0.14891769657877652,0.2074115819288165,0.1182160386512154,0.41631371226589897
-0.29230494559461,0.5510532452123768,-0.3835523463491554,0.03586137742682108,0.36902213655770333,-0.29732971137437764
-0.29230494559461,-0.057185100321075405,0.06567794445748047,0.5396568503696152,0.22264937154444323,0.3265718501558284
-0.29230494559461,0.16362843793931572,0.6469380154094787,-1.7199698499197078,-3.510220497520837,-0.003933174893175048
-0.29230494559461,-1.0549142235803077,-0.5431605707687294,-0.2825488474171052,1.546081811429395,-0.46103861136003366
-0.29230494559461,0.5919149426753323,-1.767510609629402,0.5453340979023521,0.5445156601239434,-0.21939582892787393
-0.29230494559461,-1.0549142235803077,-1.2954323145771067,0.0973753094303567,0.2628469011489784,-0.16747104825003323
-0.29230494559461,1.3342178842519534,2.5532062671988456,0.545604100442784,0.989265009994942,0.19667184600084137
