a1preR,a1postR,a2preR,a2postR
PSMC5,-0.804529027247702,0.868162320918945,0.861772361271789,-0.925405654943032
GOLGA3,0.650419488434302,-0.205461985121001,0.881094143955051,-1.32605164726835
APOBR,0.197537081923762,0.116047190635203,1.04702358940542,-1.36060786196439
DPYD,-0.357724168625152,0.293432433591475,1.2119475696052,-1.14765583457153
GIT2,-0.538135846515251,0.937675907948226,0.73600707201788,-1.13554713345085
TBC1D9B,-0.244453350114205,0.556657138762571,0.980040655415817,-1.29224444406418
ANKHD1,0.0685126713048538,0.513314845649334,0.841020924568738,-1.42284844152293
PARP9,0.581596569718827,0.0683446575394496,0.780891637836231,-1.43083286509451
LPCAT1,0.225933671774291,-0.954066975228491,1.30577285032021,-0.577639546866013
ARK2N,-0.289841240534701,0.710130974454618,0.867673374717691,-1.28796310863761
KLC4,-0.812146185243307,0.633251425398122,1.07011285256756,-0.891218092722376
DYNC1LI1,0.734243038296119,0.457227121653245,0.282339503677952,-1.47380966362732
IGKV3D-15,-0.544173358372958,0.616995325158041,-1.1135694223761,1.04074745559102
IGHV3-74,0.0339191304400632,1.00827803653508,-1.36937254460086,0.327175377625716
CHAD,-1.08294882209361,0.843127797538735,-0.61751755331075,0.857338577865626
FCN3,-0.748762177030459,-0.525584698210094,-0.184755983935592,1.45910285917615
ABCA1,0.27794486010531,0.124642264871709,-1.39002666204241,0.987439537065394
ADH1B,-0.978673606997425,0.273022859665741,-0.574181907983475,1.27983265531516
PLG,-0.946345139015224,-0.306538929412089,-0.156375159694877,1.40925922812219
CST3,-0.716536279004361,0.28047164719641,-0.857336280074308,1.29340091188226
IGKV1-17,-0.509593264677568,0.794434037090613,-1.15943123484402,0.874590462430978
APOA1,-1.19133241382011,0.642649118649515,-0.438821205794257,0.987504500964848
AHSG,-0.86095652905213,0.133768618967819,-0.630503294570663,1.35769120465498
TF,-1.0839247681384,-0.191739849322368,-0.0602661152319148,1.33593073269268
ALDOB,-0.181022074612965,-0.661520032230543,-0.621485786536242,1.46402789337975
F13B,-1.33206563280726,0.191307025283955,0.0515644660538475,1.08919414146946
ADH4,-0.70363961239704,0.615820532407605,-0.986090526103791,1.07390960609323
MGP,-0.457349885756521,0.617150475645551,-1.17470353255037,1.01490294266134
SERPINF2,-0.692522901129618,-0.238978253890672,-0.541586065493652,1.47308722051394
ANPEP,0.573435866959093,-1.02387155662138,-0.646966822187777,1.09740251185007
GPT,-0.150088956697763,0.185136134361487,-1.23049180038977,1.19544462272604
PON1,-1.21175316875089,0.311322684127392,-0.267191516629876,1.16762200125337
DPP4,-0.542481618159339,0.164848757965722,-0.952944335652167,1.33057719584579
BTD,-0.980324363085059,0.279505101934286,-0.575675468844373,1.27649472999515
AFM,-1.31875973869316,0.14452687275621,0.0624387590914623,1.11179410684549
MASP1,-1.06637119890522,0.39994092816667,-0.527260043599963,1.19369031433852
GPLD1,-1.25311868737831,0.179750734834005,-0.104145114786971,1.17751306733127
SORD,0.25080559572507,0.308434311564529,-1.43841031252126,0.879170405231661
